Sample,BPD24,TRP24
CTL0602,0.444491547,0.482494888
CTL0603,0.072093818,0.084517781
CTL0604,0.037821635,0.045773835
CTL0605,0.077675107,0.087904258
CTL0606,0.247053441,0.29742078
CTL0607,0.203899265,0.18267228
CTL0608,0.055797935,0.045713544
CTL0609,0.423684318,0.437024676
CTL0610,0.012520148,0.013959314
CTL0611A,0.016647315,0.024337262
CTL0612,0.009283197,0.019425337
CTL0613,0.29518418,0.30791248
CTL0614,0.047453755,0.033748477
CTL0615,0.983161184,0.766536589
CTL0616,0.191068882,0.198434136
CTL0617,0.154255199,0.141649397
CTL0618,0.235964663,0.277264726
CTL0619,0.035937368,0.028549162
CTL0620,0.05302,0.055731806
CTL0621,0.014053149,0.016780598
CTL0622,0.023473267,0.021513063
CTL0623,0.008480444,0.007044556
CTL0624,0.009704167,0.007838001
CTL0625,0.017960045,0.020480175
CTL0626,0.04462869,0.068299671
CTL0627,0.008867175,0.016131165
CTL0628,0.005226525,0.006941913
CTL0629,0.075009132,0.074053452
CTL0630,0.157679714,0.120615905
CTL0631,0.028405819,0.022111845
CTL0633,0.135998137,0.107916829
CTL0634,0.253639134,0.121192708
CTL0635,0.061445462,0.041742268
CTL0636,0.151389472,0.130427656
CTL0637,0.044813242,0.055980499
CTL0638,0.013501263,0.031593595
CTL0639,0.026910301,0.034376864
CTL0640,0.029900898,0.035242486
CTL0641,0.049899121,0.06141482
CTL0642,0.099245442,0.164909564
CTL0643,0.037010132,0.044710674
CTL0644,0.090742506,0.089366673
CTL0645,0.021906969,0.028756493
CTL0646,0.041410388,0.056450275
CTL0647,0.016013879,0.019786404
CTL0648,0.00122504,0.00209594
CTL0649,0.226104108,0.235100923
CTL0650,0.129555573,0.084290049
CTL0651,0.05779374,0.034285081
CTL0652,0.497248294,0.374167943
CTL0654,0.324086024,0.356416626
CTL0655,0.241153259,0.243336908
CTL0656,0.141170149,0.104001931
CTL0657,0.080869069,0.053254833
CTL0658,0.056293897,0.050554969
CTL0659,0.254053892,0.314203027
CTL0660,0.088350201,0.067203622
CTL0661,0.041817371,0.0597652
CTL0662,0.086926064,0.100943181
CTL0663,0.055960421,0.068156382
CTL0664,0.048087053,0.053787798
CTL0665,0.030964969,0.037333151
CTL0666,0.080504569,0.095846719
CTL0667,0.07537493,0.063477264
CTL0668,0.056665097,0.048134562
CTL0669,0.180240746,0.095183869
CTL0670,0.070760241,0.10753939
CTL0672,0.047707463,0.06432401
CTL0673,0.013322641,0.018778372
CTL0674,0.013879225,0.01881427
CTL0675,0.038712082,0.043104376
CTL0676,0.474886537,0.447352309
CTL0677,0.214050882,0.245644417
CTL0678,0.070120014,0.072150938
CTL0679,0.143697443,0.164125695
CTL0680,0.057067993,0.09703201
CTL0681,0.021595304,0.024634231
CTL0682,0.018197294,0.021206372
CTL0683,0.014334859,0.020526064
CTL0684,0.229958923,0.215525743
CTL0685,0.04881675,0.034354082
CTL0686,0.018539811,0.014384532
CTL0687,0.006863742,0.003964098
CTL0688,0.387608081,0.476017472
CTL0689,0.10882623,0.12036028
CTL0690,0.098373785,0.096503925
CTL0691,0.289229763,0.293577941
CTL0692,0.00066863,0.000399254
CTL0693,0.016283802,0.013951453
CTL0694,0.090133595,0.081459516
CTL0695,0.33386248,0.263637169
CTL0696,0.787082625,0.723962197
CTL0697,0.737025146,0.659889986
CTL0698,0.192271646,0.206380845
CTL0699,0.006179661,0.017000117
CTL0700,0.005585175,0.008200527
CTL0701,0.098329548,0.104053984
CTL0704,0.001731539,0.001928844
CTL0705,0.261315245,0.388199835
CTL0706,0.258797207,0.305786486
CTL0707,0.137264553,0.118987836
CTL0708,0.365243098,0.318695192
CTL0709,0.027086108,0.038125387
CTL0710,0.110721867,0.104947787
CTL0711,0.043800733,0.037204938
CTL0712,0.022712798,0.021662114
CTL0713,0.037946572,0.039190755
CTL0714,0.066631459,0.05474884
CTL0715,0.257081614,0.187997964
CTL0716,0.006911985,0.013599607
CTL0717,0.094557275,0.117757927
CTL0718,0.02133852,0.019897124
CTL0719,0.040525173,0.04373526
CTL0720,0.273368694,0.20917528
CTL0721,0.13498297,0.130670923
CTL0722,0.034883332,0.040408118
CTL0723,0.008481602,0.010050293
CTL0724,0.033522425,0.029673814
CTL0725,0.001120667,0.001387236
CTL0726,0.037108234,0.051211031
CTL0727,0.011236114,0.019657608
CTL0728,0.002926112,0.006242886
CTL0729,0.005352574,0.006508401
CTL0730,0.007097657,0.012667469
CTL0731,0.03545053,0.029152923
CTL0733,0.047202084,0.065710695
CTL0734,0.011077061,0.025674206
CTL0735,0.012405374,0.009066326
CTL0736,0.293789016,0.307615416
CTL0737,0.175379936,0.192321807
CTL0738,0.015854444,0.01545264
CTL0739,0.132201516,0.081790233
CTL0740,0.185740878,0.106636506
CTL0741,0.190888705,0.144697924
CTL0742,0.006807053,0.006641475
CTL0743,0.052816587,0.048080632
CTL0744,0.021066589,0.016079193
CTL0745,0.056804247,0.062756642
CTL0746,0.055766359,0.041675051
CTL0747,0.104501336,0.084817911
CTL0748,0.020896715,0.017855495
CTL0749,0.049113685,0.056296069
CTL0750,0.024528866,0.021066072
CTL0751,0.001067314,0.002708226
CTL0752,0.203286023,0.216433626
CTL0753,0.22248075,0.197483668
CTL0754,0.122895036,0.093454583
CTL0755,0.041067873,0.024393593
CTL0756,0.204220925,0.17978936
CTL0757,0.255441382,0.314136955
CTL0758,0.000674069,0.000617703
CTL0759,0.107536851,0.104426247
CTL0760,0.38759249,0.389590718
CTL0761,0.015909862,0.015294012
CTL0763,0.013861309,0.013081886
CTL0764,0.022309643,0.027123257
CTL0765,0.026904244,0.045578142
CTL0766,0.261762022,0.21799045
CTL0767,0.520576216,0.43645879
CTL0768,0.070884146,0.058711912
CTL0769,0.362423327,0.293266522
CTL0770,0.133873768,0.121542846
CTL0771,0.170679497,0.206545822
CTL0772,0.282467714,0.223296766
CTL0773,0.123777071,0.089657031
CTL0774,0.148799012,0.092692735
CTL0775,0.131866923,0.081323183
CTL0776,0.06085478,0.055647976
CTL0777,0.046489124,0.040908356
CTL0778,0.059400728,0.04884696
CTL0779,0.039226413,0.034278264
CTL0780,0.047515123,0.042531862
CTL0781,0.04719512,0.055571994
CTL0782,0.00659779,0.006573602
CTL0783,0.056946083,0.065602108
CTL0784,0.033105602,0.042758268
CTL0785,0.034449892,0.041971521
CTL0786,0.032441579,0.045696878
CTL0787,0.162158286,0.21696553
CTL0788,0.030974115,0.029186173
CTL0789,0.170062453,0.179142576
CTL0790,0.164215548,0.171388845
