Sample,ZLM,ZRM
argJ,0.046114346,0.005539682
argD,0.049739138,0.005025939
argF,0.04077068,0.004953796
argR,0.032797177,0.00247034
argG,0.067704631,0.015954458
argH,0.04456173,0.011805162
tlyA,0.043787587,0.015064699
ppnK,0.063999307,0.017285818
recN,0.038938367,0.02493294
pyrG,0.126271946,0.087157076
scpA,0.057509146,0.015963203
cmk,0.056315026,0.014065632
engA,0.060686251,0.0387734
gabD2,0.051345442,0.019375769
idi,0.021866517,0.01220304
malQ,0.018491113,0.022303012
mgtC,0.047240058,0.010897914
gcvH,0.074160154,0.037203751
garA,0.305145801,0.096260168
ureA,0.021274219,0.003266095
ureC,0.028755872,0.018785511
ureF,0.014945987,0.003425683
ureG,0.021624922,0.005675222
bfr,0.074250211,0.229374305
cinA,0.040893642,0.039975778
katG,0.315636568,0.097410079
tpx,0.085260537,0.025894842
nrdF1,0.220633429,0.024854239
fdxA,0.024167298,0.142330907
pncA,0.060281861,0.009030949
cobN,0.021825818,0.048761879
cobH,0.032592817,0.009393849
cobIJ,0.029626134,0.014859202
sigC,0.030716342,0.006206455
cobK,0.015093196,0.00318958
tatA,0.3118663,0.049168501
prcA,0.150292902,0.05914605
hisG,0.00846795,0.001571836
hisE,0.008778819,0.000212056
metH,0.0972892,0.083147694
pyrD,0.048428117,0.027917023
ftsZ,0.290449202,0.137965184
ftsQ,0.093445327,0.022560977
murC,0.095072414,0.032225907
murG,0.097891022,0.022637492
murD,0.121052107,0.053448966
murF,0.143940424,0.029832082
murE,0.232608404,0.073172331
trpD,0.03633018,0.01546039
ctaE,0.254388327,0.065435578
ctaC,0.188210335,0.087041211
cobT,0.045226766,0.022235242
ilvE,0.061162514,0.016844218
gcvT,0.038126123,0.021712754
pepA,0.034776698,0.040454542
dlaT,0.120724785,0.078851926
lipA,0.04458944,0.028673428
ptpA,0.020696642,0.003860725
cobD,0.009124326,0.003733929
aceE,0.060502674,0.143378069
fabD,0.125075228,0.064639822
cdh,0.021624922,0.020936674
htpG,0.031861104,0.030990737
dnaG,0.036346633,0.042419883
era,0.052219167,0.020768341
hrcA,0.111480094,0.040981402
cysH,0.191421211,0.025991032
cysW,0.02934384,0.008093095
lepA,0.014594419,0.019646851
rpsT,0.117670643,0.041591336
nadD,0.02016063,0.008689911
proA,0.055824043,0.039772466
ahpC,0.02264066,0.00406185
ahpD,0.061450003,0.00981796
rbsK,0.011051891,0.003762349
nadE,0.060276665,0.031226841
rpmA,0.167244388,0.028338948
rplU,0.193069946,0.02620746
dctA,0.069337778,0.028107217
folC,0.063748187,0.033275255
clpX,0.383638214,0.375098103
tig,0.096788691,0.092906628
pepN,0.040117767,0.055547661
citE,0.046454658,0.008762054
scoA,0.043771134,0.010467244
mrr,0.011664971,0.005213947
efp,0.124105384,0.033176878
aroK,0.114884939,0.009826705
aroE,0.092094473,0.023833311
relA,0.095538285,0.080349433
apt,0.073680428,0.036587259
secF,0.145421168,0.073694819
secD,0.150533631,0.100540633
yajC,0.144091096,0.033872071
gabT,0.084667374,0.027062242
ruvA,0.065995281,0.009096533
ruvC,0.072001385,0.018075015
speE,0.012405343,0.018741788
pdxH,0.003217804,0.001582766
hemE,0.067372979,0.026729948
dut,0.060823934,0.016960083
ppgK,0.025813435,0.011319839
sigA,0.202706038,0.177215162
ideR,0.254514753,0.055659154
nrdR,0.035911935,0.014244896
lexA,0.183806204,0.045423641
hflX,0.112303596,0.052259705
dapF,0.067756586,0.02540296
miaA,0.030027926,0.006261108
recX,0.097639902,0.007599027
recA,0.152266361,0.065275989
ftsK,0.121476414,0.110126862
dapA,0.111396099,0.047590107
thyX,0.006885892,0.00318958
thyA,0.04644773,0.029475741
ald,0.072032559,0.0448465
gpsI,0.363841275,0.216943906
ribF,0.029545602,0.018988822
rbfA,0.382864936,0.037170958
nusA,0.103989782,0.03057537
efpA,0.211648518,0.331447422
cysG,0.027190267,0.019235856
dxr,0.042254021,0.019342977
mpt83,0.022087329,0.003312004
frr,0.107986058,0.040592269
pyrH,0.105811703,0.064554563
tsf,0.134893166,0.04936744
xerC,0.075189747,0.018396378
fdhD,0.036170848,0.011971309
trmD,0.024467777,0.008659305
rpsP,0.105934665,0.026220577
ffh,0.04745048,0.02859254
glnD,0.030813327,0.021815503
rnc,0.127565648,0.030800543
purU,0.012841773,0.004193019
pca,0.032844803,0.054834979
recG,0.011202563,0.008327012
ung,0.049681121,0.019281765
leuD,0.077967657,0.03260411
leuC,0.100663737,0.254849408
ilvC,0.216623298,0.053516736
pfkA,0.053205464,0.017814864
gatA,0.018196696,0.008928201
gatC,0.015881194,0.001401316
ligA,0.017190483,0.015744589
ctaD,0.074948152,0.056297508
adh,0.13205464,0.042548866
nrdF2,0.079167839,0.038104441
