Sample,BPD16,TRP16
CTL0001,0.083327307,0.05547351
CTL0002,0.257291611,0.251654366
CTL0003,0.047672733,0.012075067
CTL0004,0.328782027,0.288637233
CTL0005,0.170742952,0.129433169
CTL0006,0.041109262,0.024585755
CTL0007,0.027065157,0.014299052
CTL0008,0.022645472,0.017418473
CTL0009,0.323840418,0.454799836
CTL0010,0.038442488,0.035725131
CTL0011,0.200651169,0.228951662
CTL0012,0.02203441,0.020164335
CTL0013,0.010886472,0.017995713
CTL0014,0.091907945,0.055256218
CTL0015,0.018047696,0.009951734
CTL0016,0.052510959,0.021222536
CTL0017,0.014619056,0.006153277
CTL0018,0.168955315,0.101567949
CTL0019,0.028584285,0.022384837
CTL0020,0.193624491,0.176720627
CTL0021,0.006615373,0.004119045
CTL0022,0.034206201,0.023797087
CTL0023,0.036232957,0.022577119
CTL0024,0.123450733,0.120318102
CTL0025,0.036618018,0.027464469
CTL0026,0.019689783,0.01635465
CTL0027,0.034406208,0.026590383
CTL0028,0.101603649,0.079503698
CTL0029,0.015902435,0.015096751
CTL0030,0.023006366,0.021092318
CTL0031,0.036209382,0.029414261
CTL0032,0.050951735,0.042833334
CTL0033,0.179427645,0.185779643
CTL0034,0.091519833,0.054024192
CTL0035,0.065960622,0.04916339
CTL0036,0.087113462,0.067635491
CTL0037,0.03430123,0.033381845
CTL0038,0.070792039,0.056911402
CTL0039,0.084980522,0.058600133
CTL0040,0.097868824,0.075821279
CTL0041,0.061976241,0.056168265
CTL0042,0.074970057,0.052291927
CTL0043,0.497017178,0.327419929
CTL0044,0.014319444,0.017617252
CTL0045,0.015114551,0.013100788
CTL0046,0.240186357,0.152389979
CTL0047,0.421225342,0.283634688
CTL0048,0.175599583,0.140217811
CTL0049,0.568344012,0.638826028
CTL0051,0.177168881,0.083305581
CTL0052,0.027780902,0.014248091
CTL0053,0.103777425,0.139258584
CTL0054,0.037900802,0.048555087
CTL0055,0.056824905,0.053351082
CTL0056,0.854782442,1
CTL0057,0.149520789,0.132335624
CTL0058,0.067259098,0.039336107
CTL0059,0.126755635,0.159013794
CTL0060,0.547789448,0.851194863
CTL0061,0.148995284,0.203737407
CTL0062,0.147524388,0.075241642
CTL0063,0.015135188,0.007699992
CTL0064,0.031529679,0.020779233
CTL0065,0.044835249,0.038282286
CTL0066,0.003215227,0.002108854
CTL0067,0.050390105,0.034418245
CTL0068,0.024042233,0.02002996
CTL0069,0.119216111,0.120939115
CTL0070,0.492592142,0.482599961
CTL0071,0.388355869,0.076888387
CTL0072,0.122878368,0.074352205
CTL0073,0.092983954,0.080614887
CTL0074,0.221692855,0.175885606
CTL0075,0.693504099,0.521593129
CTL0076,0.320866023,0.248609692
CTL0077,0.536119337,0.331827545
CTL0078,0.187483001,0.137045282
CTL0079,0.091585501,0.096038339
CTL0080,0.079430697,0.033876958
CTL0081,0.030096457,0.012635934
CTL0082,0.208717337,0.083143684
CTL0083,0.033756371,0.028919045
CTL0084,0.012313306,0.009385202
CTL0085,0.010847052,0.003287948
CTL0086,0.002897401,0.001484662
CTL0087,0.013905613,0.009947453
CTL0088,0.01647377,0.018971873
CTL0089,0.013864775,0.011637334
CTL0090,0.044566424,0.042278295
CTL0091,0.022027522,0.021493741
CTL0092,0.155433728,0.145027949
CTL0093,0.01345167,0.016751513
CTL0094,0.01939818,0.020098374
CTL0095,0.050067253,0.026385011
CTL0096,0.1419394,0.086146251
CTL0097,0.056246042,0.043148576
CTL0098,0.082023035,0.073976681
CTL0099,0.032977318,0.030202379
CTL0100,0.150036373,0.117087924
CTL0101,0.053816938,0.029831964
CTL0102,0.094254362,0.059627816
CTL0103,0.360412413,0.383906672
CTL0104,0.180579222,0.130099462
CTL0105,0.112109913,0.10023338
CTL0106,0.025329167,0.02207043
CTL0107,0.028222016,0.024090026
CTL0108,0.095337058,0.104961268
CTL0109,0.13585381,0.135486598
CTL0110,0.245758373,0.201266132
CTL0111,0.017481615,0.015755085
CTL0112,0.393563502,0.131456373
CTL0113,0.032895441,0.022879597
CTL0114,0.037305928,0.021202345
CTL0115,0.04610601,0.029921442
CTL0116,0.054800315,0.032335279
CTL0117,0.250263749,0.166950467
CTL0118,0.167400783,0.148689214
CTL0119,0.221706661,0.238932555
CTL0120,0.062826087,0.06101652
CTL0121,0.200136744,0.134521477
CTL0122,0.003632193,0.001939869
CTL0123,0.006620384,0.004488106
CTL0124,0.099352732,0.094447045
CTL0125,0.027468103,0.017435899
CTL0126,0.02426872,0.019808889
CTL0127,0.191087013,0.14570043
CTL0128,0.067978286,0.052904992
CTL0129,0.05357868,0.036253706
CTL0130,0.011264651,0.006689871
CTL0131,0.169237843,0.136639705
CTL0132,0.217544015,0.155758686
CTL0133,0.004047898,0.002559835
CTL0134,0.005403452,0.00276713
CTL0135,0.046410588,0.040431687
CTL0136,0.016789519,0.016143893
CTL0137,0.409025923,0.516208004
CTL0138,0.235062582,0.212294021
CTL0139,0.24096173,0.210789674
CTL0140,0.137938108,0.177681549
CTL0141,0.151765726,0.073961825
CTL0142,0.229428328,0.259600678
CTL0143,0.010116335,0.010077588
CTL0144,0.103293379,0.078182063
CTL0145,0.101418987,0.073060718
CTL0146,0.138819495,0.101330429
CTL0147,0.016505839,0.009662375
CTL0148,0.000486296,0.000326817
CTL0149,0.034626637,0.022637639
CTL0150,0.069066661,0.046613646
CTL0151,0.124719149,0.19080078
CTL0152,0.253112264,0.189496646
CTL0153,0.20199017,0.16470716
CTL0153A,0.012631486,0.010470941
CTL0154,0.126522603,0.121792808
CTL0155,0.186135513,0.174194425
CTL0156,0.026350907,0.02261481
CTL0157,0.010646979,0.00702642
CTL0158,0.224528331,0.131543353
CTL0159,0.056332237,0.043869247
CTL0160,0.162453574,0.117248082
CTL0161,0.00051003,0.000476519
CTL0162,0.046839697,0.036326417
CTL0163,0.005008678,0.002692766
CTL0164,0.31063675,0.152834689
CTL0165,0.13857163,0.111026758
CTL0166,0.062907884,0.055693743
CTL0168,0.730841006,0.778541478
CTL0169,0.080523231,0.07137681
CTL0170,0.594114077,0.570926967
CTL0172,0.069304006,0.072834746
CTL0173,0.016280128,0.024117367
CTL0174,0.026558016,0.016729163
CTL0175,0.070543821,0.032635359
CTL0176,0.099581288,0.091071162
CTL0177,0.242917065,0.185100619
CTL0178,0.043275975,0.027706001
CTL0179,0.04130462,0.035768967
CTL0181,0.039048404,0.039161585
CTL0182,0.120366378,0.112700591
CTL0183,0.396080521,0.272712366
CTL0184,0.04789456,0.065915825
CTL0185,0.006268705,0.002233812
CTL0186,0.00447013,0.001541505
CTL0187,0.106351987,0.076045183
CTL0188,0.278663149,0.228336666
CTL0189,0.144671564,0.181506858
CTL0190,0.232629774,0.292660476
CTL0191,0.373919923,0.444313227
CTL0192,0.204960027,0.12675321
CTL0193,0.03222038,0.020665065
CTL0194,0.022414624,0.02038326
CTL0195,0.229932571,0.14443609
CTL0196,0.706528937,0.688770741
CTL0197,0.038232358,0.020598073
CTL0198,0.048861368,0.028405867
CTL0199,1,0.741259814
CTL0200,0.135449186,0.093838142
CTL0201,0.013034754,0.015847744
CTL0202,0.010083909,0.009634368
CTL0203,0.010111597,0.005809335
CTL0204,0.136211694,0.116832854
CTL0205,0.230095411,0.25900956
CTL0206,0.049796736,0.051836853
CTL0207,0.05885625,0.067065695
CTL0208,0.203177903,0.19192694
CTL0209,0.04749853,0.016963027
CTL0210,0.015639339,0.011124649
CTL0211,0.037290118,0.023971809
CTL0212,0.044109378,0.036478589
CTL0213,0.618516094,0.283759685
CTL0214,0.374388966,0.500539284
CTL0215,0.100692495,0.135886734
CTL0216,0.010613601,0.009370549
CTL0217,0.007754969,0.005920961
CTL0218,0.009566939,0.011097486
CTL0219,0.000789693,0.00037139
CTL0220,0.000927538,0.000382821
CTL0221,0.002997058,0.000900974
CTL0222,0.192172092,0.093862389
CTL0223,0.149703272,0.083403725
CTL0224,0.072267764,0.055636168
CTL0225,0.038766149,0.048967234
CTL0226,0.185746025,0.307715258
CTL0227,0.075349198,0.06049016
CTL0228,0.038316236,0.024576511
CTL0231,0.078124218,0.045059368
CTL0231A,0.000258394,0.000113812
CTL0231B,0.000176531,6.95475E-05
CTL0232,0.03377376,0.043088974
CTL0233,0.230943825,0.176634791
CTL0234,0.41187517,0.209070159
CTL0235,0.07863792,0.088580545
CTL0236,0.0211929,0.013368112
CTL0237,0.011562771,0.008279945
CTL0238,0.12034738,0.085719773
CTL0243,0.010703762,0.006482629
CTL0244,0.087140791,0.084757301
CTL0245,0.199618851,0.178360027
CTL0246,0.050730326,0.02051246
CTL0247,0.033250025,0.018179214
CTL0248,0.081756478,0.050081702
CTL0249,0.16051707,0.102217202
CTL0250,0.234784485,0.170832526
CTL0252,0.025989473,0.016308269
CTL0255,0.319290826,0.047269941
CTL0256,0.413915028,0.265929352
CTL0257,0.044117282,0.024845308
CTL0258,0.189442162,0.157568078
CTL0259,0.20919761,0.160003579
CTL0260,0.031503838,0.02557147
CTL0261,0.003251485,0.003190692
CTL0262,0.140022973,0.142337651
CTL0263,0.026335474,0.017427628
CTL0264,0.048004296,0.07561948
CTL0265,0.072402053,0.047021266
CTL0266,0.106120567,0.093032399
CTL0267,0.124341046,0.126813769
CTL0268,0.21385684,0.215116958
CTL0269,0.087916191,0.072489186
CTL0270,0.021821802,0.01981117
CTL0271,0.318188421,0.114740829
CTL0272,0.456009468,0.260192778
CTL0273,0.02916302,0.03521066
CTL0274,0.301974242,0.314047649
CTL0275,0.10059531,0.088414091
CTL0276,0.048219422,0.029152357
CTL0277,0.316601279,0.248789356
CTL0278,0.092700122,0.100609511
CTL0279,0.063320944,0.055013759
CTL0280,0.365230302,0.412017125
CTL0281,0.087191386,0.114915562
CTL0282,0.09001508,0.113254289
CTL0283,0.020014013,0.021188499
CTL0284,0.07969627,0.073952307
CTL0285,0.032144354,0.029256298
CTL0286,0.024988915,0.021558618
CTL0287,0.098168984,0.09667591
CTL0288,0.047516625,0.028768242
CTL0289,0.044182433,0.039455908
CTL0290,0.0368323,0.023367351
CTL0291,0.005732596,0.004924487
CTL0292,0.008169487,0.007791578
CTL0293,0.019466229,0.013462959
CTL0294,0.119507025,0.076842138
CTL0295,0.00013162,9.88253E-05
CTL0296,0.136754895,0.080592242
CTL0297,0.129491781,0.083571532
CTL0298,0.043629795,0.022232021
CTL0299,0.430873578,0.446946719
CTL0300,0.383050517,0.487082183
CTL0301,0.246685179,0.133680568
CTL0302,0.010552352,0.003797315
CTL0303,0.014522394,0.009732208
CTL0304,0.034019647,0.02824494
CTL0305,0.537530082,0.056079018
CTL0306,0.01995979,0.002614516
CTL0307,0.039304458,0.004747892
CTL0308,0.042493823,0.062156832
CTL0309,0.113025005,0.128635836
CTL0310,0.098750101,0.042567305
CTL0311,0.131140119,0.086538929
CTL0312,0.030095109,0.014183042
CTL0313,0.023345981,0.03318808
CTL0314,0.044027391,0.045817697
CTL0315,0.130686627,0.160804217
CTL0316,0.015785038,0.010527119
CTL0317,0.034932538,0.015651935
CTL0318,0.213414509,0.186817469
CTL0319,0.153437902,0.143631705
CTL0320,0.285712377,0.273538733
CTL0321,0.234083746,0.240215691
CTL0322,0.169061117,0.087627098
CTL0323,0.120477809,0.107750566
CTL0324,0.098419702,0.073298388
CTL0325,0.085223023,0.071808101
CTL0326,0.054579032,0.041069761
CTL0327,0.067658342,0.047068734
CTL0328,0.209781713,0.20250877
CTL0329,0.041478882,0.006508472
CTL0330,0.044698076,0.036082334
CTL0331,0.141179912,0.108308082
CTL0332,0.03079666,0.029416339
CTL0333,0.009722493,0.006135375
CTL0334,0.039086085,0.032686268
CTL0335,0.001311679,0.00102842
CTL0336,0.365066089,0.036516461
CTL0337,0.007178829,0.003074938
CTL0338,0.008880746,0.003847416
CTL0338A,0.00200698,0.001137355
CTL0339,0.163767765,0.014192829
CTL0340,0.056432697,0.07093279
CTL0341,0.078841825,0.116265939
CTL0342,0.005416372,0.004750305
CTL0343,0.003114579,0.002145567
CTL0344,0.115799435,0.066407363
CTL0345,0.114776404,0.105597357
CTL0346,0.027884427,0.022812923
CTL0347,0.056652037,0.037153658
CTL0348,0.028906266,0.020042055
CTL0349,0.125643962,0.101582748
CTL0350,0.038927127,0.032674848
CTL0351,0.330725303,0.322558877
CTL0352,0.15213151,0.135179771
CTL0353,0.491927425,0.470076726
CTL0354,0.115813483,0.074134966
