Sample,UTD24,BPD24
CTL0156,0.016570735,0.023681459
CTL0157,0.0074597,0.009639685
CTL0158,0.094128317,0.194121181
CTL0159,0.04249923,0.03486667
CTL0160,0.091608653,0.188374208
CTL0161,0.000417523,0.000487152
CTL0162,0.028003132,0.050556511
CTL0163,0.002019823,0.006327764
CTL0164,0.057080433,0.4524597
CTL0165,0.038995238,0.175683623
CTL0166,0.047934286,0.057423289
CTL0168,0.244484001,0.856497136
CTL0169,0.032878642,0.092334409
CTL0170,0.203391934,0.664566412
CTL0172,0.022769562,0.094793918
CTL0173,0.008540905,0.015036702
CTL0174,0.032907099,0.01655773
CTL0175,0.027384699,0.075047821
CTL0176,0.040222411,0.1169244
CTL0177,0.095884628,0.284902314
CTL0178,0.01262512,0.059089092
CTL0179,0.015732428,0.0466473
CTL0181,0.013836164,0.043941232
CTL0182,0.042669243,0.131490675
CTL0183,0.206432531,0.471425311
CTL0184,0.017812775,0.040361062
CTL0185,0.089133635,0.001724803
CTL0186,0.054861805,0.001580332
CTL0187,0.089754329,0.102231588
CTL0188,0.15721126,0.322706976
CTL0189,0.062755055,0.173384239
CTL0190,0.126483131,0.366743769
CTL0191,0.204737425,0.334743801
CTL0192,0.07011609,0.202660858
CTL0193,0.075718471,0.009891578
CTL0194,0.067959648,0.011483147
CTL0195,0.209612433,0.21455085
CTL0196,0.217050681,0.69313383
CTL0197,0.027635848,0.044005944
CTL0198,0.026669798,0.046360589
CTL0199,0.418565293,0.430092317
CTL0200,0.080387677,0.076050934
CTL0201,0.005333084,0.014963332
CTL0202,0.005269884,0.011165423
CTL0203,0.004335956,0.011739336
CTL0204,0.027641204,0.164858797
CTL0205,0.093578757,0.29914946
CTL0206,0.019021296,0.077248473
CTL0207,0.023562642,0.079659458
CTL0208,0.095182276,0.205797453
CTL0209,0.134124904,0.026004104
CTL0210,0.004370909,0.017463749
CTL0211,0.010627836,0.037904017
CTL0212,0.023824162,0.056738863
CTL0213,0.483241451,0.303333154
CTL0214,0.185612114,0.460057867
CTL0215,0.049679888,0.103615029
CTL0216,0.005762983,0.012397205
CTL0217,0.004565218,0.007407444
CTL0218,0.004443564,0.014440633
CTL0219,0.007107423,0.000283862
CTL0220,0.007142311,0.000217417
CTL0221,0.028543221,0.000441426
CTL0222,0.064759475,0.206840656
CTL0223,0.080321969,0.137478836
CTL0224,0.022740414,0.077019782
CTL0225,0.007699033,0.048505488
CTL0226,0.050158817,0.220948077
CTL0227,0.018608672,0.101397391
CTL0228,0.067470421,0.021516201
CTL0231,0.022478907,0.076692187
CTL0231A,9.90E-05,0.000194167
CTL0231B,0.00010638,0.000130929
CTL0232,0.024183639,0.039170635
CTL0233,0.079869456,0.19924584
CTL0234,0.264191889,0.655656859
CTL0235,0.016771767,0.119850684
CTL0236,0.00304222,0.022505684
CTL0237,0.002284079,0.013905321
CTL0238,0.031306064,0.142459082
CTL0243,0.004576662,0.012116395
CTL0244,0.046824731,0.106052434
CTL0245,0.096397755,0.18221201
CTL0246,0.01869969,0.044061553
CTL0247,0.014706308,0.037968369
CTL0248,0.241028206,0.04971419
CTL0249,0.34160618,0.078086138
CTL0250,0.639648682,0.120507421
CTL0252,0.048102681,0.015155473
CTL0255,0.865741761,0.019146029
CTL0256,1,0.219715571
CTL0257,0.016125783,0.049521511
CTL0258,0.083496839,0.331654332
CTL0259,0.129351901,0.308978862
CTL0260,0.086343369,0.034406287
CTL0261,0.000874132,0.004055423
CTL0262,0.044113934,0.167477494
CTL0263,0.011871794,0.027668712
CTL0264,0.028313603,0.058531263
CTL0265,0.023548577,0.074738436
CTL0266,0.047015585,0.11851974
CTL0267,0.085263661,0.133293047
CTL0268,0.151348817,0.170209025
CTL0269,0.076672913,0.072373941
CTL0270,0.022791434,0.019288948
CTL0271,0.229838803,0.412749155
CTL0272,0.317042196,0.330200429
CTL0273,0.026069671,0.032961645
CTL0274,0.099608817,0.368389219
CTL0275,0.037607485,0.141535235
CTL0276,0.038999463,0.039374278
CTL0277,0.113567647,0.340529592
CTL0278,0.04257036,0.115695106
CTL0279,0.027906379,0.068019456
CTL0280,0.152091408,0.486563832
CTL0281,0.037201239,0.112968495
CTL0282,0.043930734,0.126690925
CTL0283,0.013070301,0.032136252
CTL0284,0.047061698,0.107727779
CTL0285,0.020117145,0.036251093
CTL0286,0.01719571,0.02680297
CTL0287,0.069678066,0.107770147
CTL0288,0.018700369,0.058747069
CTL0289,0.022637296,0.050769317
CTL0290,0.028156128,0.039230533
CTL0291,0.002779624,0.005545981
CTL0292,0.004200571,0.013795642
CTL0293,0.010580892,0.019110315
CTL0294,0.061553298,0.117956497
CTL0295,0.000208167,4.70E-05
CTL0296,0.10259543,0.102093859
CTL0297,0.113312698,0.113581268
CTL0298,0.031959837,0.050850556
CTL0299,0.36095648,0.407561727
CTL0300,0.23862964,0.447750501
CTL0301,0.140656976,0.300352236
CTL0302,0.092852376,0.001354437
CTL0303,0.009871094,0.014875431
CTL0304,0.009378095,0.041019672
CTL0305,0.18427962,0.03451252
CTL0306,0.009277796,0.002816738
CTL0307,0.012631015,0.005082509
CTL0308,0.010426509,0.05995816
CTL0309,0.03835857,0.139218478
CTL0310,0.206798137,0.039721106
CTL0311,0.249646157,0.045093165
CTL0312,0.031691802,0.011368727
CTL0313,0.014577083,0.029341374
CTL0314,0.019235881,0.041382999
CTL0315,0.060166732,0.119212649
CTL0316,0.046522091,0.008913001
CTL0317,0.038620204,0.028509431
CTL0318,0.103730892,0.275901183
CTL0319,0.126961702,0.239647547
CTL0320,0.057878512,0.3090883
CTL0321,0.155504537,0.341359436
CTL0322,0.075611607,0.173227707
CTL0323,0.097469127,0.240788982
CTL0324,0.068852613,0.145870469
CTL0325,0.04442908,0.113949004
CTL0326,0.031185657,0.060301629
CTL0327,0.043826768,0.068647672
CTL0328,0.118528222,0.274914159
CTL0329,0.107705865,0.004180576
CTL0330,0.01823636,0.043196162
CTL0331,0.06102364,0.168090867
CTL0332,0.012429939,0.03750883
CTL0333,0.003590562,0.012795379
CTL0334,0.019448589,0.041016292
CTL0335,0.000813744,0.001377665
CTL0336,0.746415816,0.021936598
CTL0337,0.100586319,0.003538539
CTL0338,0.082532378,0.005266119
CTL0338A,0.01960864,0.001109015
CTL0339,0.03434531,0.018196667
CTL0340,0.022575185,0.079345384
CTL0341,0.041195554,0.091146783
CTL0342,0.014724833,0.002718194
CTL0343,0.008637107,0.00199311
CTL0344,0.253314827,0.039207775
CTL0345,0.310931541,0.094587354
CTL0346,0.044136271,0.024188018
CTL0347,0.019774869,0.074970569
CTL0348,0.013755771,0.029387138
CTL0349,0.039222057,0.13162957
CTL0350,0.01570485,0.044509061
CTL0351,0.106600319,0.429829354
CTL0352,0.054572186,0.20260873
CTL0353,0.154916046,0.719729012
CTL0354,0.052914322,0.117937415
CTL0355,0.00821373,0.021337354
CTL0356,0.003713569,0.017877829
CTL0357,0.02301551,0.026640108
CTL0358,0.019573391,0.028531466
CTL0359,0.030343248,0.11656933
CTL0360,0.017336263,0.01203365
CTL0361,0.001577784,0.008126099
CTL0362,0.004996731,0.020654591
CTL0363,0.027920636,0.02702758
CTL0364,0.015702269,0.050159829
CTL0366,0.215201586,0.824317357
CTL0367,0.033686895,0.28513022
CTL0368,0.301883676,0.439341779
CTL0369,0.092396349,0.113884628
CTL0370,0.088600802,0.395051623
CTL0371,0.017005774,0.098432957
CTL0372,0.056511684,0.325672677
CTL0373,0.032773363,0.155871952
CTL0374,0.003222732,0.004526746
CTL0375,0.000334424,0.000801507
CTL0376,0.028589018,0.080806169
CTL0377,0.070399568,0.182408062
CTL0378,0.01583455,0.052282695
CTL0379,0.051788204,0.156208183
CTL0380,0.092867596,0.376243859
CTL0381,0.071576801,0.289931028
CTL0382,0.00750642,0.021880428
CTL0383,0.032579361,0.074972403
CTL0384,0.011284351,0.037119263
CTL0385,0.038020174,0.084070613
CTL0386,0.055536183,0.008764501
CTL0387,0.008493105,0.002313617
CTL0388,0.012973435,0.018364691
CTL0389,0.014015299,0.075054638
CTL0390,0.020681814,0.085040559
CTL0391,0.051959172,0.0924651
CTL0392,0.019771688,0.033719602
CTL0393,0.029304423,0.044333782
CTL0394,0.007800981,0.040974034
CTL0395,0.024441176,0.038201621
CTL0396,0.031937655,0.03843212
CTL0397,0.499345544,0.046568972
CTL0398,0.110449742,0.009529573
CTL0399,0.4572272,0.052437103
CTL0400,0.117761508,0.167197324
CTL0401,0.050755552,0.069000196
CTL0402,0.121970738,0.288131925
CTL0403,0.04937045,0.115162104
CTL0404,0.009953121,0.011682905
CTL0405,0.018335536,0.06436812
CTL0406,0.091609149,0.185742294
CTL0407,0.026337058,0.019680228
CTL0408,0.016472857,0.13965321
CTL0409,0.001743757,0.001612599
CTL0411,0.002545416,0.001526252
CTL0413,0.00080094,0.002403079
CTL0414,0.000381938,0.000446108
CTL0415,0.000501396,0.000764883
CTL0417,0.002300483,0.002187673
CTL0418,0.000107079,0.000121978
CTL0419,0.015044662,0.0504603
CTL0419A,0.012858548,0.013376768
CTL0420,0.009950847,0.022028393
CTL0421,0.005151286,0.015721857
CTL0422,0.008661637,0.024600725
CTL0425,0.017353172,0.017139009
CTL0426,0.001894108,0.000680217
CTL0426A,0.000558186,0.000284654
CTL0427,0.015806402,0.046134458
CTL0428,0.009067718,0.001536369
CTL0429,0.067233523,0.009163016
CTL0430,0.018665428,0.003673227
CTL0431,0.01780448,0.028878219
CTL0432,0.079293958,0.170717534
CTL0433,0.143014989,0.006352469
CTL0434,0.047144293,0.095732057
CTL0435,0.021302365,0.039333746
CTL0436,0.007835247,0.010148208
CTL0437,0.056677643,0.287502043
CTL0438,0.024211139,0.123049
CTL0439,0.025209987,0.037885748
CTL0440,0.105289874,0.213706475
CTL0441,0.114593856,0.259529247
CTL0442,0.180292039,0.42032586
CTL0443,0.031687885,0.063697356
CTL0444,0.008283219,0.022997965
CTL0445,0.014083652,0.056300896
CTL0446,0.095838802,0.185872751
CTL0447,0.016377224,0.059166894
CTL0448,0.000471281,0.0038135
CTL0449,0.02238681,0.037388835
CTL0450,0.069535621,0.137325522
CTL0451,0.020125845,0.044128054
CTL0452,0.006948693,0.021568507
CTL0453,0.012779258,0.02450718
CTL0454,0.006694473,0.013125276
CTL0455,0.069111586,0.026907012
CTL0456,0.097919707,0.064400791
CTL0457,0.058270674,0.04631813
CTL0458,0.015605502,0.020565051
CTL0459,0.058744253,0.045676785
CTL0460,0.05040018,0.07831485
CTL0461,0.084165326,0.310254875
CTL0462,0.017491869,0.125203224
CTL0463,0.034677651,0.022003161
CTL0464,0.024163101,0.014298943
CTL0465,0.074963705,0.056615871
CTL0466,0.171147384,0.060879546
CTL0467,0.14248439,0.280615664
CTL0468,0.051422014,0.115271582
CTL0469,0.013870755,0.045038474
CTL0470,0.050035933,0.031659043
CTL0471,0.001986798,0.0049047
CTL0472,0.003386353,0.008327017
CTL0473,0.067049978,0.240570345
CTL0474,0.002148265,0.004925931
CTL0475,0.00662302,0.02171803
CTL0476,0.073361235,0.329561657
CTL0477,0.005698249,0.006743128
CTL0477A,0.01983173,0.033404109
CTL0478,0.011344246,0.015863307
CTL0479,0.004971706,0.008512114
CTL0480,0.011536103,0.021625805
CTL0481,0.017229174,0.019847383
CTL0482,0.010442009,0.048681985
CTL0483,0.010751673,0.045394433
CTL0484,0.015900264,0.073401256
CTL0485,0.005248294,0.01687483
CTL0486,0.033238286,0.08297789
CTL0487,0.009967831,0.021688404
CTL0488,0.099722672,0.096321887
CTL0489,0.074581534,0.126755781
CTL0490,0.035408111,0.074454938
CTL0491,0.072111121,0.189936692
CTL0492,0.007105994,0.012768961
CTL0493,0.258567136,0.659070439
CTL0494,0.058475962,0.124286505
CTL0495,0.113920168,0.176433963
CTL0496,0.007987007,0.01427296
CTL0497,0.033833668,0.042437441
CTL0498,0.02133733,0.03331635
CTL0499,0.036382097,0.055499763
CTL0500,0.17022815,0.046808591
CTL0500A,0.01003431,0.02893296
CTL0501,0.055131967,0.080385738
CTL0503,0.205615645,0.482026081
CTL0504,0.027712928,0.038016122
CTL0505,0.142321624,0.188796752
CTL0506,0.054089546,0.07179482
CTL0507,0.021411303,0.058209977
CTL0508,0.012466507,0.025126887
CTL0509,0.009598339,0.017537687
CTL0510,0.041177196,0.048295899
CTL0511,0.142820801,0.082716856
CTL0512,0.016554634,0.060408658
CTL0513,0.022608683,0.052630561
CTL0514,0.010242042,0.019864901
CTL0515,0.006444391,0.01189371
CTL0516,0.098709805,0.105720393
CTL0517,0.064499247,0.073233399
CTL0518,0.132151278,0.073056478
CTL0519,0.410589625,0.132836947
CTL0520,0.057874318,0.169417884
CTL0521,0.133693472,0.33638886
CTL0522,0.033130391,0.038991713
CTL0523,0.023576194,0.012103965
CTL0524,0.018786634,0.052918027
CTL0525,0.037697249,0.02292048
CTL0526,0.022683834,0.015957071
CTL0527,0.13666761,0.357373423
CTL0528,0.091717633,0.137947938
CTL0529,0.012656224,0.030190703
CTL0530,0.081135957,0.113308476
CTL0531,0.025090372,0.036259525
CTL0532,0.019705781,0.023566547
CTL0533,0.02202641,0.030798714
CTL0534,0.018366719,0.033601482
CTL0535,0.179913914,0.337277882
CTL0536,0.014330673,0.027510903
CTL0537,0.010593457,0.02285371
CTL0538,0.46798924,0.230342181
CTL0539,0.036381566,0.078033479
CTL0540,0.183185894,0.05444659
CTL0541,0.488991502,0.218703616
CTL0542,0.025469191,0.090257133
CTL0543,0.010054486,0.042637553
CTL0544,0.061723326,0.209586089
CTL0545,0.099758433,0.148665456
CTL0546,0.048904474,0.122940271
CTL0547,0.159468631,0.31147799
CTL0548,0.051635951,0.174883399
CTL0549,0.009121975,0.01189158
CTL0550,0.014345502,0.031376188
CTL0551,0.069565425,0.056968771
CTL0552,0.005889594,0.016008434
CTL0553,0.047193539,0.05796745
CTL0554,0.088076536,0.208561219
CTL0555,0.020023704,0.034409714
CTL0556,0.013839866,0.031602345
CTL0557,0.097344697,0.261653392
CTL0558,0.04177718,0.144971841
CTL0559,0.030574182,0.116491736
CTL0560,0.046446106,0.165582134
CTL0561,0.018770005,0.074871471
CTL0562,0.089711389,0.280892811
CTL0563,0.040338493,0.059933864
CTL0564,0.053143655,0.066711487
CTL0565,0.654738705,0.416351319
CTL0566,0.355054422,0.949029759
CTL0567,0.211735974,0.637023562
CTL0568,0.068016437,0.260017483
CTL0569,0.054926199,0.204663642
CTL0570,0.06630813,0.231173965
CTL0571,0.072645696,0.273467167
CTL0572,0.054773304,0.219627868
CTL0573,0.026699933,0.065038715
CTL0574,0.199413114,0.713044088
CTL0575,0.032353353,0.109004301
CTL0576,0.061606769,0.103569051
CTL0577,0.003139893,0.011682265
CTL0578,0.018416837,0.019544514
CTL0580,0.008650177,0.013738384
CTL0581,0.101175218,0.146961872
CTL0582,0.016771186,0.054612668
CTL0583,0.021054087,0.077393223
CTL0583A,0.026119109,0.08868037
CTL0584,0.014453728,0.051370598
CTL0585,0.034409685,0.12528886
CTL0586,0.047654931,0.103660116
CTL0587,0.025474094,0.079107773
CTL0588,0.026327071,0.146660346
CTL0589,0.004163799,0.014460225
CTL0590,0.039246999,0.14221293
CTL0591,0.018276676,0.037474574
CTL0592,0.008987243,0.011498162
CTL0592A,0.009624297,0.014820708
CTL0593,0.003248112,0.01659197
CTL0594,0.12180112,0.205407794
CTL0595,0.059704121,0.178483085
CTL0596,0.027175692,0.095374479
CTL0597,0.06519431,0.106133317
CTL0598,0.223765734,0.248648067
CTL0599,0.001759664,0.003741145
CTL0600,0.016466514,0.076650383
CTL0601,0.003158705,0.003657533
CTL0602,0.109678903,0.444491547
CTL0603,0.024450646,0.072093818
CTL0604,0.025998702,0.037821635
CTL0605,0.035953348,0.077675107
CTL0606,0.142254629,0.247053441
CTL0607,0.067471874,0.203899265
CTL0608,0.047393806,0.055797935
CTL0609,0.329777125,0.423684318
CTL0610,0.088118347,0.012520148
CTL0611A,0.010357502,0.016647315
CTL0612,0.009770559,0.009283197
CTL0613,0.101952658,0.29518418
CTL0614,0.019533672,0.047453755
CTL0615,0.138634063,0.983161184
CTL0616,0.042915378,0.191068882
CTL0617,0.036058733,0.154255199
CTL0618,0.068166911,0.235964663
CTL0619,0.147565118,0.035937368
CTL0620,0.012625854,0.05302
CTL0621,0.003500789,0.014053149
CTL0622,0.009917346,0.023473267
CTL0623,0.00279167,0.008480444
CTL0624,0.00357879,0.009704167
CTL0625,0.003160987,0.017960045
CTL0626,0.138771814,0.04462869
CTL0627,0.136757632,0.008867175
CTL0628,0.062080637,0.005226525
CTL0629,0.079828503,0.075009132
CTL0630,0.106949407,0.157679714
CTL0631,0.028698891,0.028405819
CTL0633,0.15985448,0.135998137
CTL0634,0.077498512,0.253639134
CTL0635,0.025265873,0.061445462
CTL0636,0.070439113,0.151389472
CTL0637,0.053394331,0.044813242
CTL0638,0.216843278,0.013501263
CTL0639,0.004842596,0.026910301
CTL0640,0.033247981,0.029900898
CTL0641,0.052595028,0.049899121
CTL0642,0.078534324,0.099245442
CTL0643,0.025340884,0.037010132
CTL0644,0.025888286,0.090742506
CTL0645,0.045103115,0.021906969
CTL0646,0.014508286,0.041410388
CTL0647,0.006604095,0.016013879
CTL0648,0.035611099,0.00122504
CTL0649,0.049237214,0.226104108
CTL0650,0.069193746,0.129555573
CTL0651,0.03288759,0.05779374
CTL0652,0.24520476,0.497248294
CTL0654,0.06427016,0.324086024
CTL0655,0.065183305,0.241153259
CTL0656,0.112722827,0.141170149
CTL0657,0.036003434,0.080869069
CTL0658,0.041277532,0.056293897
CTL0659,0.19533423,0.254053892
CTL0660,0.033980661,0.088350201
CTL0661,0.014530277,0.041817371
CTL0662,0.027499563,0.086926064
CTL0663,0.028253011,0.055960421
CTL0664,0.057193073,0.048087053
CTL0665,0.019980603,0.030964969
CTL0666,0.024030868,0.080504569
CTL0667,0.025185501,0.07537493
CTL0668,0.020691012,0.056665097
CTL0669,0.020700953,0.180240746
CTL0670,0.442289747,0.070760241
CTL0672,0.012056825,0.047707463
CTL0673,0.006083135,0.013322641
CTL0674,0.00313278,0.013879225
CTL0675,0.016301379,0.038712082
CTL0676,0.158658636,0.474886537
CTL0677,0.068830362,0.214050882
CTL0678,0.036038823,0.070120014
CTL0679,0.068009134,0.143697443
CTL0680,0.019370587,0.057067993
CTL0681,0.009102128,0.021595304
CTL0682,0.014975639,0.018197294
CTL0683,0.059935123,0.014334859
CTL0684,0.087436316,0.229958923
CTL0685,0.012072692,0.04881675
CTL0686,0.00584351,0.018539811
CTL0687,0.002328776,0.006863742
CTL0688,0.138357971,0.387608081
CTL0689,0.072078882,0.10882623
CTL0690,0.051620024,0.098373785
CTL0691,0.178125434,0.289229763
CTL0692,0.000174319,0.00066863
CTL0693,0.01427517,0.016283802
CTL0694,0.029636026,0.090133595
CTL0695,0.12054613,0.33386248
CTL0696,0.225796581,0.787082625
CTL0697,0.169386884,0.737025146
CTL0698,0.052907847,0.192271646
CTL0699,0.000836063,0.006179661
CTL0700,0.106941758,0.005585175
CTL0701,0.090166951,0.098329548
CTL0704,0.033734644,0.001731539
CTL0705,0.08897925,0.261315245
CTL0706,0.1027719,0.258797207
CTL0707,0.124685281,0.137264553
CTL0708,0.252633716,0.365243098
CTL0709,0.00554482,0.027086108
CTL0710,0.032141579,0.110721867
CTL0711,0.02784449,0.043800733
CTL0712,0.010018621,0.022712798
CTL0713,0.013615719,0.037946572
CTL0714,0.020377967,0.066631459
CTL0715,0.11513662,0.257081614
CTL0716,0.421665574,0.006911985
CTL0717,0.054197532,0.094557275
CTL0718,0.021761674,0.02133852
CTL0719,0.030287129,0.040525173
CTL0720,0.120605632,0.273368694
CTL0721,0.057759909,0.13498297
CTL0722,0.018224926,0.034883332
CTL0723,0.005741826,0.008481602
CTL0724,0.039406297,0.033522425
CTL0725,0.000354218,0.001120667
CTL0726,0.040809007,0.037108234
CTL0727,0.048715712,0.011236114
CTL0728,0.021726102,0.002926112
CTL0729,0.002081118,0.005352574
CTL0730,0.001696915,0.007097657
CTL0731,0.025698616,0.03545053
CTL0733,0.013252057,0.047202084
CTL0734,0.002301637,0.011077061
CTL0735,0.006049673,0.012405374
CTL0736,0.048868695,0.293789016
CTL0737,0.144832121,0.175379936
CTL0738,0.010575405,0.015854444
CTL0739,0.051379375,0.132201516
CTL0740,0.068156042,0.185740878
CTL0741,0.08125872,0.190888705
CTL0742,0.009018109,0.006807053
CTL0743,0.067138842,0.052816587
CTL0744,0.003051162,0.021066589
CTL0745,0.057116452,0.056804247
CTL0746,0.049606132,0.055766359
CTL0747,0.085918694,0.104501336
CTL0748,0.02508395,0.020896715
CTL0749,0.079251545,0.049113685
CTL0750,0.124639889,0.024528866
CTL0751,0.018810059,0.001067314
CTL0752,0.190527855,0.203286023
CTL0753,0.13910219,0.22248075
CTL0754,0.149019632,0.122895036
CTL0755,0.047585516,0.041067873
CTL0756,0.069274523,0.204220925
CTL0757,0.321423717,0.255441382
CTL0758,0.000510063,0.000674069
CTL0759,0.039002497,0.107536851
CTL0760,0.104378173,0.38759249
CTL0761,0.005747027,0.015909862
CTL0763,0.026331263,0.013861309
CTL0764,0.051007648,0.022309643
CTL0765,0.134962547,0.026904244
CTL0766,0.161133401,0.261762022
CTL0767,0.248424926,0.520576216
CTL0768,0.019938816,0.070884146
CTL0769,0.093342946,0.362423327
CTL0770,0.029427626,0.133873768
CTL0771,0.043769946,0.170679497
CTL0772,0.100060455,0.282467714
CTL0773,0.03771251,0.123777071
CTL0774,0.043131424,0.148799012
CTL0775,0.039915094,0.131866923
CTL0776,0.01982719,0.06085478
CTL0777,0.018110943,0.046489124
CTL0778,0.019086244,0.059400728
CTL0779,0.013275197,0.039226413
CTL0780,0.011971532,0.047515123
CTL0781,0.011227604,0.04719512
CTL0782,0.001652259,0.00659779
CTL0783,0.019787184,0.056946083
CTL0784,0.009136456,0.033105602
CTL0785,0.009650312,0.034449892
CTL0786,0.009753374,0.032441579
CTL0787,0.046708885,0.162158286
CTL0788,0.009062573,0.030974115
CTL0789,0.048185868,0.170062453
CTL0790,0.038183168,0.164215548
CTL0791,0.087094012,0.247712509
CTL0792,0.032820477,0.048374119
CTL0793,0.093826829,0.141528978
